episode,total_reward,epsilon,loss
1,90.0,1.0,0.0
2,90.0,1.0,0.0
3,-200.0,1.0,0.0
4,90.0,1.0,0.0
5,-200.0,1.0,0.0
6,90.0,1.0,0.0
7,-200.0,1.0,0.0
8,90.0,1.0,0.0
9,-200.0,1.0,0.0
10,90.0,1.0,0.0
11,-200.0,1.0,0.0
12,90.0,1.0,0.0
13,-200.0,1.0,0.0
14,-200.0,1.0,0.0
15,90.0,1.0,0.0
16,90.0,1.0,0.0
17,-200.0,1.0,0.0
18,-200.0,1.0,0.0
19,90.0,1.0,0.0
20,-200.0,1.0,0.0
21,-200.0,1.0,0.0
22,90.0,1.0,0.0
23,90.0,1.0,0.0
24,-200.0,1.0,0.0
25,-200.0,1.0,0.0
26,90.0,1.0,0.0
27,90.0,1.0,0.0
28,90.0,1.0,0.0
29,90.0,1.0,0.0
30,90.0,1.0,0.0
31,90.0,1.0,0.0
32,-200.0,1.0,0.0
33,90.0,1.0,0.0
34,90.0,1.0,0.0
35,-200.0,1.0,0.0
36,-200.0,1.0,0.0
37,-200.0,1.0,0.0
38,90.0,1.0,0.0
39,90.0,1.0,0.0
40,90.0,1.0,0.0
41,-200.0,1.0,0.0
42,-200.0,1.0,0.0
43,-200.0,1.0,0.0
44,-200.0,1.0,0.0
45,90.0,1.0,0.0
46,-200.0,1.0,0.0
47,-200.0,1.0,0.0
48,90.0,1.0,0.0
49,-200.0,1.0,0.0
50,-200.0,1.0,0.0
51,-200.0,1.0,0.0
52,-200.0,1.0,0.0
53,-200.0,1.0,0.0
54,90.0,1.0,0.0
55,90.0,1.0,0.0
56,90.0,1.0,0.0
57,90.0,1.0,0.0
58,-200.0,1.0,0.0
59,90.0,1.0,0.0
60,90.0,1.0,0.0
61,-200.0,1.0,0.0
62,90.0,1.0,0.0
63,-200.0,1.0,0.0
64,90.0,0.995,21809.5
65,-200.0,0.990025,20912.546875
66,-200.0,0.985074875,20541.619140625
67,90.0,0.9801495006250001,19732.939453125
68,-200.0,0.9752487531218751,18140.359375
69,-200.0,0.9703725093562657,17843.376953125
70,90.0,0.9655206468094844,18345.380859375
71,-200.0,0.960693043575437,17611.9921875
72,90.0,0.9558895783575597,15719.77734375
73,-200.0,0.9511101304657719,16192.634765625
74,-200.0,0.946354579813443,15068.099609375
75,90.0,0.9416228069143757,14408.642578125
76,-200.0,0.9369146928798039,13081.8408203125
77,-200.0,0.9322301194154049,11885.466796875
78,90.0,0.9275689688183278,11391.34375
79,-200.0,0.9229311239742362,10815.77734375
80,90.0,0.918316468354365,9987.5263671875
81,90.0,0.9137248860125932,9636.4365234375
82,90.0,0.9091562615825302,9098.876953125
83,90.0,0.9046104802746175,9011.6494140625
84,-200.0,0.9000874278732445,8294.970703125
85,90.0,0.8955869907338783,6219.2705078125
86,90.0,0.8911090557802088,7132.1220703125
87,-200.0,0.8866535105013078,6451.33544921875
88,90.0,0.8822202429488013,5275.33544921875
89,-200.0,0.8778091417340573,5714.40380859375
90,90.0,0.8734200960253871,4846.0224609375
91,-200.0,0.8690529955452602,4349.8076171875
92,90.0,0.8647077305675338,3947.92041015625
93,90.0,0.8603841919146962,3593.79833984375
94,-200.0,0.8560822709551227,3913.399658203125
95,-200.0,0.851801859600347,3997.51708984375
96,-200.0,0.8475428503023453,3951.2197265625
97,90.0,0.8433051360508336,3493.391357421875
98,90.0,0.8390886103705794,3210.86767578125
99,90.0,0.8348931673187264,2634.87744140625
100,90.0,0.8307187014821328,2640.796630859375
101,90.0,0.8265651079747222,2705.917724609375
102,90.0,0.8224322824348486,2610.073486328125
103,-200.0,0.8183201210226743,2339.768310546875
104,90.0,0.8142285204175609,2797.596435546875
105,90.0,0.810157377815473,2548.030029296875
106,-200.0,0.8061065909263957,2237.631103515625
107,-200.0,0.8020760579717637,2347.665283203125
108,90.0,0.798065677681905,2791.21337890625
109,90.0,0.7940753492934954,2079.615234375
110,-200.0,0.7901049725470279,2182.0263671875
